0.35988,0.43211-0.49877i,0.43211+0.49877i,0.1153,8.3077,0.406,7.7565,-0.3654,7.7565,0.097552,7.2401,-0.33483,0.26523,0.1153,0.55065
0.35987,0.43206-0.49881i,0.43206+0.49881i,0.11524,8.3076,0.4059,7.7566,-0.36531,7.7566,0.097507,7.2402,-0.33476,0.26512,0.11524,0.55057
0.35987,0.432-0.49886i,0.432+0.49886i,0.11519,8.3075,0.4058,7.7566,-0.36522,7.7566,0.097461,7.2404,-0.33468,0.26501,0.11519,0.55049
0.35987,0.43195-0.49891i,0.43195+0.49891i,0.11514,8.3074,0.4057,7.7566,-0.36513,7.7566,0.097416,7.2405,-0.3346,0.26491,0.11514,0.55041
0.35986,0.4319-0.49896i,0.4319+0.49896i,0.11509,8.3073,0.4056,7.7566,-0.36504,7.7566,0.097371,7.2406,-0.33453,0.2648,0.11509,0.55033
0.35986,0.43184-0.499i,0.43184+0.499i,0.11503,8.3073,0.4055,7.7567,-0.36495,7.7567,0.097326,7.2408,-0.33445,0.26469,0.11503,0.55025
0.35985,0.43179-0.49905i,0.43179+0.49905i,0.11498,8.3072,0.4054,7.7567,-0.36486,7.7567,0.09728,7.2409,-0.33437,0.26458,0.11498,0.55017
0.35985,0.43173-0.4991i,0.43173+0.4991i,0.11493,8.3071,0.4053,7.7567,-0.36477,7.7567,0.097235,7.241,-0.3343,0.26447,0.11493,0.55008
0.35985,0.43168-0.49914i,0.43168+0.49914i,0.11488,8.307,0.4052,7.7568,-0.36468,7.7568,0.09719,7.2412,-0.33422,0.26437,0.11488,0.55
0.35984,0.43162-0.49919i,0.43162+0.49919i,0.11482,8.3069,0.4051,7.7568,-0.36459,7.7568,0.097145,7.2413,-0.33414,0.26426,0.11482,0.54992
0.35984,0.43157-0.49924i,0.43157+0.49924i,0.11477,8.3069,0.405,7.7568,-0.3645,7.7568,0.0971,7.2414,-0.33406,0.26415,0.11477,0.54984
0.35983,0.43151-0.49929i,0.43151+0.49929i,0.11472,8.3068,0.4049,7.7568,-0.36441,7.7568,0.097055,7.2416,-0.33399,0.26404,0.11472,0.54976
0.35983,0.43146-0.49933i,0.43146+0.49933i,0.11467,8.3067,0.4048,7.7569,-0.36432,7.7569,0.097009,7.2417,-0.33391,0.26394,0.11467,0.54968
0.35983,0.4314-0.49938i,0.4314+0.49938i,0.11461,8.3066,0.4047,7.7569,-0.36423,7.7569,0.096964,7.2418,-0.33383,0.26383,0.11461,0.54959
0.35982,0.43135-0.49943i,0.43135+0.49943i,0.11456,8.3065,0.4046,7.7569,-0.36414,7.7569,0.096919,7.242,-0.33376,0.26372,0.11456,0.54951
0.35982,0.4313-0.49947i,0.4313+0.49947i,0.11451,8.3064,0.4045,7.757,-0.36405,7.757,0.096874,7.2421,-0.33368,0.26361,0.11451,0.54943
0.35981,0.43124-0.49952i,0.43124+0.49952i,0.11446,8.3064,0.4044,7.757,-0.36396,7.757,0.096829,7.2422,-0.3336,0.26351,0.11446,0.54935
0.35981,0.43119-0.49957i,0.43119+0.49957i,0.11441,8.3063,0.4043,7.757,-0.36387,7.757,0.096784,7.2424,-0.33353,0.2634,0.11441,0.54927
0.35981,0.43113-0.49962i,0.43113+0.49962i,0.11435,8.3062,0.4042,7.757,-0.36378,7.757,0.096739,7.2425,-0.33345,0.26329,0.11435,0.54919
0.3598,0.43108-0.49966i,0.43108+0.49966i,0.1143,8.3061,0.4041,7.7571,-0.36369,7.7571,0.096693,7.2426,-0.33337,0.26318,0.1143,0.5491
0.3598,0.43102-0.49971i,0.43102+0.49971i,0.11425,8.306,0.404,7.7571,-0.3636,7.7571,0.096648,7.2428,-0.3333,0.26308,0.11425,0.54902
0.3598,0.43097-0.49976i,0.43097+0.49976i,0.1142,8.306,0.4039,7.7571,-0.36351,7.7571,0.096603,7.2429,-0.33322,0.26297,0.1142,0.54894
0.35979,0.43091-0.49981i,0.43091+0.49981i,0.11414,8.3059,0.4038,7.7571,-0.36342,7.7571,0.096558,7.243,-0.33314,0.26286,0.11414,0.54886
0.35979,0.43086-0.49985i,0.43086+0.49985i,0.11409,8.3058,0.4037,7.7572,-0.36333,7.7572,0.096513,7.2432,-0.33307,0.26276,0.11409,0.54878
0.35978,0.4308-0.4999i,0.4308+0.4999i,0.11404,8.3057,0.4036,7.7572,-0.36324,7.7572,0.096468,7.2433,-0.33299,0.26265,0.11404,0.5487
0.35978,0.43075-0.49995i,0.43075+0.49995i,0.11399,8.3056,0.4035,7.7572,-0.36315,7.7572,0.096423,7.2434,-0.33291,0.26254,0.11399,0.54861
0.35978,0.43069-0.49999i,0.43069+0.49999i,0.11393,8.3056,0.4034,7.7573,-0.36306,7.7573,0.096378,7.2436,-0.33283,0.26244,0.11393,0.54853
0.35977,0.43064-0.50004i,0.43064+0.50004i,0.11388,8.3055,0.4033,7.7573,-0.36297,7.7573,0.096333,7.2437,-0.33276,0.26233,0.11388,0.54845
0.35977,0.43058-0.50009i,0.43058+0.50009i,0.11383,8.3054,0.4032,7.7573,-0.36288,7.7573,0.096288,7.2438,-0.33268,0.26222,0.11383,0.54837
0.35976,0.43053-0.50014i,0.43053+0.50014i,0.11378,8.3053,0.4031,7.7573,-0.36279,7.7573,0.096243,7.244,-0.3326,0.26212,0.11378,0.54829
0.35976,0.43047-0.50018i,0.43047+0.50018i,0.11373,8.3052,0.403,7.7574,-0.3627,7.7574,0.096198,7.2441,-0.33253,0.26201,0.11373,0.5482
0.35976,0.43042-0.50023i,0.43042+0.50023i,0.11367,8.3051,0.4029,7.7574,-0.36261,7.7574,0.096153,7.2442,-0.33245,0.2619,0.11367,0.54812
